#metadataBlock	name	dataverseAlias	displayName	blockURI												
	ProMetaSImage		ProMetaS Image Metadata													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	exif.imageHeight	Image Height	The number of rows of image data, equal to number of pixels per row (in pixel) (eg: 2304)		int	20	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE		ProMetaSImage	https://exiftool.org/TagNames/EXIF.html#imageHeight
	exif.imageResolutionWidth	Image Resolution Width	Pixels per resolution unit in the image width (micrometer/pixel) (eg: 10)		int	21	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE		ProMetaSImage	https://exiftool.org/TagNames/EXIF.html#xResolution
	exif.imageResolutionHeight	Image Resolution Height	Pixels per resolution unit in the image height. (eg: 10)		int	22	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE		ProMetaSImage	https://exiftool.org/TagNames/EXIF.html#yResolution
	exif.imageResolutionUnit	Image Resolution Unit	Unit of Image Resolution in both height and width direction (eg: milimeter)		text	23	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE		ProMetaSImage	https://exiftool.org/TagNames/EXIF.html#resolutionUnit
	exif.imageSoftware	Image Software Used	Software/firmware of camera or image input device used to generate the image. (eg: Exif Software Version 1.00 )		text	24	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE		ProMetaSImage	https://exiftool.org/TagNames/EXIF.html#Software
	prometas.imageRegionOfInterest	Image Region of Interest	It refers area/portion in the Image that is of interest		none	25		TRUE	FALSE	FALSE	TRUE	TRUE	FALSE		ProMetaSImage	https://prometas.zih.tu-dresden.de/ImageRegionOfInterest
	prometas.imageCroppedWidth	Image Cropped Width	It refers to width of the image after being cropped (in pixels) (eg: 600)		int	26	Cropped width:#VALUE|	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	prometas.imageRegionOfInterest	ProMetaSImage	https://prometas.zih.tu-dresden.de/ImageCroppedWidth
	prometas.imageCroppedHeight	Image Cropped Height	It refers to height of the image after being cropped (in pixels) (eg: 337)		int	27	 Cropped Height:#VALUE|	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	prometas.imageRegionOfInterest	ProMetaSImage	https://prometas.zih.tu-dresden.de/ImageCroppedHeight
	prometas.imageCropOriginXDirection	Image Crop Origin X Direction	Starting point of crop along x-direction (in pixels) (eg: 400)		text	28	 Crop Origin X direction:#VALUE|	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	prometas.imageRegionOfInterest	ProMetaSImage	https://prometas.zih.tu-dresden.de/ImageCropOriginXDirection
	prometas.imageCropOriginYDirection	Image Crop Origin Y Direction	Starting point of crop along Y-direction (in pixels) (eg: 400)		text	29	 Crop Origin Y direction:#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	prometas.imageRegionOfInterest	ProMetaSImage	https://prometas.zih.tu-dresden.de/ImageCropOriginYDirection
